。	10
か	11
た	12
こ	13
さ	14
ら	15
ち	16
く	17
つ	18
，	19
、	19
、	44
う	20
し	21
て	22
け	23
せ	24
は	25
と	26
き	27
い	28
ん	29
．	30
ひ	31
す	32
ふ	33
へ	34
め	35
そ	36
ね	37
ほ	38
・	39
ぁ	840	10
え	840	11
り	840	12
ゃ	840	13
れ	840	14
ぱ	840	15
ぢ	840	16
ぐ	840	17
づ	840	18
ぴ	840	19
を	840	20
あ	840	21
な	840	22
ゅ	840	23
も	840	24
ば	840	25
ど	840	26
ぎ	840	27
ぽ	840	28
ぅ	840	30
ー	840	31
ー	41
ろ	840	32
や	840	33
ぃ	840	34
ぷ	840	35
ぞ	840	36
ぺ	840	37
ぼ	840	38
゛	840	39
゜	840	10
が	840	11
だ	840	12
ご	840	13
ざ	840	14
よ	840	15
に	840	16
る	840	17
ま	840	18
ぇ	840	19
ヴ	840	20
じ	840	21
で	840	22
げ	840	23
ぜ	840	24
み	840	25
お	840	26
の	840	27
ょ	840	28
っ	840	29
び	840	31
ず	840	32
ぶ	840	33
べ	840	34
ぬ	840	35
ゆ	840	36
む	840	37
わ	840	38
ぉ	840	39
