ー	10
に	11
は	12
、	13
ち	14
ぐ	15
ば	16
こ	17
が	18
ひ	19
の	20
と	21
か	22
ん	23
っ	24
く	25
う	26
い	27
し	28
な	29
す	30
ま	31
き	32
る	33
つ	34
て	35
た	36
で	37
。	38
ぶ	39
ー	41
げ	44
ゅ	817	0
びゃ	817	1
びゅ	817	2
びょ	817	3
ひゅ	817	10
しゅ	817	11
しょ	817	12
きゅ	817	13
ちゅ	817	14
ひょ	817	20
きょ	817	23
ちょ	817	24
ひゃ	817	30
しゃ	817	32
きゃ	817	33
ちゃ	817	34
ょ	818	0
ぴゃ	818	1
ぴゅ	818	2
ぴょ	818	3
りゅ	818	10
じゅ	818	11
じょ	818	12
ぎゅ	818	13
にゅ	818	14
りょ	818	20
ぎょ	818	23
にょ	818	24
りゃ	818	30
じゃ	818	32
ぎゃ	818	33
にゃ	818	34
しぇ	821	15
ぺ	821	16
ど	821	17
や	821	18
じぇ	821	19
び	821	25
ら	821	26
そ	821	29
わ	821	35
だ	821	36
ぴ	821	37
ぽ	821	38
ちぇ	821	39
うぃ	822	15
ぱ	822	16
よ	822	17
み	822	18
うぇ	822	19
へ	822	25
あ	822	26
え	822	29
せ	822	35
ね	822	36
べ	822	37
ぷ	822	38
ヴ	822	39
うぉ	822	44
ぁ	827	0
ぃ	827	1
ぅ	827	2
ぇ	827	3
ぉ	827	4
ふぁ	827	10
ご	827	11
ふ	827	12
ふぃ	827	13
ふぇ	827	14
ほ	827	20
じ	827	21
れ	827	22
も	827	23
ゆ	827	24
づ	827	30
ぞ	827	31
ぼ	827	32
む	827	33
ふぉ	827	34
ゃ	828	0
みゃ	828	1
みゅ	828	2
みょ	828	3
ゎ	828	4
ぢ	828	10
め	828	11
け	828	12
てぃ	828	13
でぃ	828	14
を	828	20
さ	828	21
お	828	22
り	828	23
ず	828	24
ぜ	828	30
ざ	828	31
ぎ	828	32
ろ	828	33
ぬ	828	34
